gene,TCGA-DEMO-01-01A,TCGA-DEMO-02-01A,TCGA-DEMO-03-01A,TCGA-DEMO-04-01A,TCGA-DEMO-05-01A,TCGA-DEMO-06-01A,TCGA-DEMO-07-01A,TCGA-DEMO-08-01A,TCGA-DEMO-09-01A,TCGA-DEMO-10-01A,TCGA-DEMO-11-01A,TCGA-DEMO-12-01A,TCGA-DEMO-13-01A,TCGA-DEMO-14-01A,TCGA-DEMO-15-01A,TCGA-DEMO-16-01A,TCGA-DEMO-17-01A,TCGA-DEMO-18-01A,TCGA-DEMO-19-01A,TCGA-DEMO-20-01A,TCGA-DEMO-21-01A,TCGA-DEMO-22-01A,TCGA-DEMO-23-01A,TCGA-DEMO-24-01A
ERBB2,2.610,12.685,3.741,11.424,7.020,1.450,8.929,3.189,2.058,6.216,12.228,2.267,3.190,2.385,3.048,5.746,2.710,4.381,5.334,2.625,9.478,4.327,1.501,5.313
ERBB3,6.494,8.634,12.348,17.577,5.573,3.877,5.829,1.944,3.050,18.592,6.469,7.084,8.542,15.561,3.715,2.316,3.887,6.869,2.648,9.449,3.300,3.177,3.014,2.256
FGFR1,8.875,9.878,6.019,4.066,4.399,3.527,35.362,3.519,3.115,8.645,7.154,4.964,6.621,1.851,3.051,7.899,2.944,3.284,5.313,3.007,7.576,7.263,8.068,1.992
FGFR2,4.668,4.323,6.526,1.489,2.419,6.070,4.747,5.055,18.373,8.779,5.987,4.201,3.309,4.073,3.578,3.847,9.238,5.490,3.670,2.857,5.256,4.962,5.518,2.524
FGFR3,6.657,10.467,5.211,3.347,6.061,10.782,3.979,5.162,6.189,3.954,2.772,8.662,1.781,5.732,6.197,4.129,6.026,4.053,6.410,5.367,3.424,3.176,3.082,2.615
FGFR4,6.818,5.381,6.490,1.808,9.243,7.161,5.431,3.836,3.498,2.230,1.992,8.518,16.325,6.852,2.848,6.956,5.444,7.808,13.339,2.240,5.376,11.521,5.229,2.020
FLT1,3.388,1.773,3.139,11.587,4.543,5.862,9.398,11.200,3.157,2.550,4.507,2.824,3.933,2.560,3.071,2.963,10.424,5.792,8.763,2.971,2.540,3.405,8.611,2.437
FLT4,11.908,16.382,6.706,5.816,3.585,2.948,10.990,3.234,2.187,6.144,3.852,6.561,4.019,5.686,4.136,7.129,4.715,8.152,7.734,4.242,3.465,6.423,2.188,10.638
FOS,7.430,6.504,1.348,2.661,3.823,1.780,3.926,9.392,2.656,13.692,1.268,4.250,2.504,9.623,7.354,2.554,3.615,3.003,4.265,12.605,3.287,3.710,2.836,5.393
FRS2,4.732,3.623,7.052,8.542,12.875,3.742,5.777,3.977,9.201,4.214,19.216,4.756,6.186,2.289,7.874,2.431,8.691,11.797,4.333,4.952,5.776,8.114,4.802,2.715
GAB1,3.507,3.821,8.071,1.341,2.209,1.756,3.586,5.340,2.570,5.268,3.322,3.351,7.274,3.437,3.217,4.436,8.695,9.389,7.559,3.789,6.682,15.720,8.293,2.752
GRB2,2.254,5.140,2.419,5.026,3.815,1.208,9.983,2.061,2.923,2.392,2.218,4.758,2.901,4.496,8.043,8.911,6.519,6.322,8.737,3.533,4.457,4.096,5.877,3.973
GZMB,2.066,2.259,3.307,3.161,3.260,2.498,3.287,2.662,5.035,7.689,4.619,11.321,3.821,4.286,6.049,5.738,2.448,12.082,3.560,4.903,4.755,4.566,5.533,10.042
HRAS,7.094,2.384,4.482,2.560,4.264,5.617,2.836,6.370,1.681,5.024,1.465,2.958,13.627,2.025,16.460,5.970,4.971,6.355,6.767,5.431,2.178,1.406,2.974,5.806
IFNG,2.801,2.630,4.656,3.486,12.221,7.250,5.157,2.483,3.343,1.614,3.356,3.436,6.008,3.311,6.279,4.138,4.362,8.108,5.664,5.979,2.008,4.895,2.044,5.747
JAK1,9.309,1.025,9.444,2.665,5.281,7.505,7.224,3.632,4.894,4.303,2.784,4.234,1.315,8.957,6.179,8.974,3.072,3.520,3.248,2.148,5.538,2.542,3.685,3.595
JAK2,8.228,5.213,2.871,8.557,3.698,4.200,5.563,1.553,3.725,1.655,1.653,4.541,2.621,4.589,2.165,1.897,8.015,4.596,1.922,14.036,2.500,8.166,2.194,2.986
JUN,5.807,10.191,2.994,6.433,5.710,2.192,4.998,2.225,6.633,5.398,3.012,5.819,7.756,6.292,3.930,1.786,1.381,6.359,6.097,3.441,1.521,2.973,5.620,3.809
KDR,6.902,4.050,2.670,3.740,2.222,32.897,4.798,3.215,5.963,2.159,10.363,1.165,7.564,3.810,2.294,5.690,3.444,3.683,4.601,3.684,8.826,3.660,3.203,5.154
KRAS,2.628,2.134,4.472,5.790,5.967,1.327,3.878,5.059,9.344,2.528,1.744,3.185,7.012,4.333,11.293,2.294,6.979,3.784,3.588,15.568,13.682,6.018,3.395,2.279
LAG3,3.269,7.223,1.854,4.365,11.492,6.434,6.449,1.488,2.206,7.115,3.000,2.203,9.738,4.415,9.966,7.730,1.465,13.058,8.127,6.430,3.293,3.410,2.500,4.929
MAP2K1,2.107,1.581,3.340,3.158,4.900,3.886,2.993,2.023,3.829,2.504,2.235,5.053,2.505,8.951,8.427,3.443,2.861,2.217,4.385,2.930,7.665,1.802,5.523,6.792
MAP2K2,10.656,6.566,2.227,3.718,5.371,7.953,6.180,3.644,5.555,1.123,4.978,5.763,5.250,2.951,10.399,4.585,5.447,4.089,8.859,4.485,2.622,4.229,4.334,3.633
MAPK1,3.434,6.429,12.441,5.574,3.007,19.749,2.818,1.816,4.171,5.188,5.235,5.844,17.425,7.177,3.221,4.850,5.794,5.141,11.353,13.442,2.610,2.544,1.546,4.568
MAPK3,2.448,1.845,7.856,4.426,3.166,2.188,4.532,6.205,8.884,6.551,2.715,2.389,13.019,4.748,7.580,7.366,17.573,4.139,8.014,1.072,5.152,8.091,3.006,3.062
MLST8,2.229,2.750,2.427,3.334,5.496,6.908,7.405,15.937,10.291,4.368,2.985,3.916,4.583,9.133,8.926,10.917,3.946,3.835,4.689,4.088,1.119,3.017,5.116,2.700
MTOR,7.696,5.605,5.385,8.277,5.542,1.137,2.534,2.302,2.025,4.360,1.858,4.087,2.190,5.839,0.892,6.053,4.626,5.905,8.295,2.435,17.660,8.441,3.590,3.488
NOS3,5.142,7.397,16.264,5.660,4.652,6.437,11.320,2.021,5.501,10.596,2.895,2.451,8.195,5.843,3.347,1.773,5.287,3.003,4.766,10.333,5.472,9.557,2.110,3.964
NRAS,2.096,5.938,9.179,4.998,5.887,6.919,4.882,4.170,4.478,3.733,1.717,6.033,4.524,7.349,4.275,10.206,3.965,3.293,3.472,3.446,7.420,4.263,7.596,4.735
PDCD1,2.211,2.625,4.092,4.349,6.393,1.894,2.943,13.096,5.818,4.666,4.443,10.502,6.230,5.071,3.129,12.612,6.393,3.478,1.116,4.969,2.347,3.642,3.427,2.817
PDCD1LG2,13.505,5.535,7.496,2.561,3.303,5.735,3.745,6.299,3.672,3.140,6.402,1.190,9.435,7.442,1.871,2.010,7.747,2.919,2.866,5.273,3.131,4.738,3.446,4.816
PIK3CA,3.260,3.741,4.500,2.762,5.585,7.203,1.977,12.710,5.206,9.714,3.047,2.587,2.432,3.147,7.568,9.552,9.513,2.489,2.874,6.555,5.008,2.367,17.025,13.010
PIK3CB,15.851,4.159,3.399,3.384,1.943,9.785,3.404,2.038,13.113,5.641,3.288,2.602,7.593,5.758,4.400,7.213,2.673,1.562,10.448,3.202,7.109,2.565,4.032,6.802
PIK3CD,2.778,3.230,4.336,1.780,3.516,2.842,3.049,5.412,3.156,6.338,7.875,5.898,3.600,4.364,4.580,11.694,5.159,6.172,6.445,9.869,3.702,3.500,3.189,9.801
PIK3R1,4.665,4.041,6.518,4.815,2.789,3.412,3.547,5.036,3.421,6.457,3.570,7.162,2.873,5.607,6.949,10.767,7.093,3.519,2.982,16.236,8.861,2.692,4.518,2.789
PIK3R2,1.199,4.547,3.243,5.142,10.212,3.125,1.991,7.176,2.997,14.898,4.978,1.212,5.783,3.687,2.777,12.656,3.983,4.642,7.883,6.606,3.552,12.741,1.914,7.972
PLCG1,9.758,7.520,8.680,3.908,4.911,6.049,5.290,4.705,3.115,2.674,17.094,1.618,3.722,2.503,1.756,3.544,1.078,3.572,20.999,4.498,3.767,2.810,3.607,9.695
PTEN,2.305,7.848,5.280,1.689,4.283,1.492,5.642,9.744,3.926,1.496,1.673,5.331,6.073,2.412,5.001,7.206,2.032,5.206,0.868,3.749,3.940,5.866,8.062,2.617
PTPN11,5.264,7.544,4.653,5.266,6.264,3.414,4.344,7.717,2.447,5.636,5.084,6.555,5.785,3.042,2.687,1.591,3.599,4.461,8.723,5.498,1.889,5.790,3.232,4.302
PTPRB,1.512,2.144,5.489,3.453,12.575,2.599,8.615,2.039,10.795,6.325,5.554,3.628,11.792,2.641,3.858,14.526,4.073,3.134,8.617,8.589,5.837,4.852,1.308,3.018
RAF1,6.019,9.876,5.339,4.431,2.013,3.935,3.626,3.088,4.213,4.447,2.234,1.547,5.345,4.530,3.862,2.657,5.274,4.134,5.759,6.315,1.716,8.804,4.835,1.213
RHEB,5.786,5.157,9.294,3.661,5.755,1.350,10.431,7.462,2.116,4.631,4.324,7.590,6.050,2.400,10.829,4.513,6.500,4.238,3.322,6.454,19.865,5.316,5.366,2.756
RPS6,11.599,6.020,2.432,4.276,6.022,22.389,1.059,8.714,5.579,6.092,3.343,13.860,1.905,7.915,1.281,6.902,9.139,4.732,2.283,8.148,7.998,7.209,8.821,1.574
RPS6KB1,3.034,4.585,3.796,1.794,3.075,5.786,2.648,6.372,4.381,2.279,3.524,4.522,4.674,3.112,3.419,1.389,2.495,6.104,9.448,4.748,2.333,4.227,7.446,5.907
RPTOR,4.662,4.108,5.108,6.051,4.209,8.893,4.953,2.986,5.677,4.953,7.383,6.017,3.583,7.283,3.260,4.232,2.424,8.794,13.762,5.072,5.556,8.686,3.409,6.099
SHC1,2.864,6.873,4.102,3.557,4.394,1.476,1.519,8.196,3.926,2.770,4.984,3.220,1.489,2.971,9.245,3.635,4.780,8.969,6.885,4.730,4.516,5.164,12.051,5.035
SOS1,7.005,1.284,6.288,4.161,3.620,13.484,10.150,2.208,4.189,4.365,2.548,2.196,8.645,4.232,2.432,5.099,7.156,4.736,5.750,11.696,4.607,10.663,1.427,4.366
STAT1,5.558,2.871,3.111,2.714,2.690,14.083,4.321,3.142,1.488,1.748,2.420,5.665,5.654,2.066,7.429,6.707,5.604,6.367,3.987,2.850,2.704,9.457,4.067,2.028
STAT3,5.068,8.071,2.095,1.717,10.040,4.646,1.650,1.096,7.255,6.388,10.887,4.346,7.506,8.635,1.491,9.079,7.459,3.330,1.616,3.959,2.174,7.010,7.881,3.320
TIGIT,3.110,2.601,8.586,3.733,2.877,3.839,5.322,5.775,9.741,2.518,5.725,7.699,5.797,1.832,6.946,4.578,6.994,3.453,4.804,1.218,8.630,8.664,5.134,12.686
TSC1,2.960,5.767,14.094,10.776,4.064,2.985,11.818,3.368,12.173,4.317,7.809,10.404,1.393,7.269,2.981,5.179,7.673,7.367,4.686,4.271,2.615,2.444,8.125,2.280
TSC2,4.269,4.501,5.654,3.927,5.071,5.243,4.785,4.153,3.403,1.656,1.818,3.399,1.831,3.286,3.288,4.004,2.304,4.771,6.818,5.197,3.197,4.199,4.147,3.236
VEGFA,8.157,2.158,5.398,7.010,6.346,3.775,5.252,2.846,7.301,2.976,3.343,5.498,2.964,3.187,10.152,8.968,10.625,1.997,6.035,3.355,18.021,3.453,2.473,7.766
